City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port victoria,0.0939,33.9756,21.45,80,36,3.26,KE,1717279530
1,coquimbo,-29.9533,-71.3436,15.55,56,0,5.66,CL,1717279156
2,edinburgh of the seven seas,-37.0676,-12.3116,14.76,91,98,3.82,SH,1717279530
3,weno,7.4515,151.8468,27.83,80,100,5.71,FM,1717279530
4,hawaiian paradise park,19.5933,-154.9731,26.73,81,100,5.14,US,1717279530
5,west island,-12.1568,96.8225,26.99,83,100,6.17,CC,1717279530
6,longyearbyen,78.2186,15.6401,2.91,87,75,2.06,SJ,1717279377
7,nacozari de garcia,30.3742,-109.6908,34.39,5,18,7.83,MX,1717279531
8,pathein,16.7833,94.7333,26.48,86,100,2.07,MM,1717279531
9,crucecita,-28.95,-58.9833,19.01,82,100,3.04,AR,1717279531
10,gadzhiyevo,69.2551,33.3362,5.34,93,97,4.58,RU,1717279531
11,huanggang,23.677,116.9996,25.94,99,100,1.94,CN,1717279531
12,ribeira grande,38.5167,-28.7,19.32,87,85,3.58,PT,1717279531
13,pitkyaranta,61.5734,31.4792,13.62,98,63,2.62,RU,1717279532
14,kifri,34.6959,44.9661,28.64,21,0,3.06,IQ,1717279532
15,adamstown,-25.066,-130.1015,21.15,71,36,6.03,PN,1717279532
16,olyokminsk,60.3736,120.4264,17.3,74,81,1.3,RU,1717279532
17,sai buri,6.7013,101.6168,27.2,87,100,1.92,TH,1717279532
18,college,64.8569,-147.8028,22.97,26,75,2.57,US,1717279532
19,enewetak,11.3474,162.3373,28.01,82,89,6.27,MH,1717279532
20,waitangi,-43.9535,-176.5597,9.9,72,44,6.26,NZ,1717279532
21,zhengjiatun,43.5064,123.5064,14.37,71,100,1.83,CN,1717279533
22,olonkinbyen,70.9221,-8.7187,1.37,95,100,3.95,SJ,1717279533
23,la passe,45.5549,-0.8967,15.13,90,19,5.43,FR,1717279533
24,yellowknife,62.456,-114.3525,11.9,60,75,5.14,CA,1717279533
25,krasnyy chikoy,50.3643,108.7512,9.42,83,4,0.94,RU,1717279533
26,bodaybo,57.8506,114.1933,14.9,87,74,0.8,RU,1717279533
27,puerto ayora,-0.7393,-90.3518,23.98,92,54,1.34,EC,1717279533
28,polyarnyy,69.1989,33.4478,5.13,93,99,4.6,RU,1717279533
29,mehekar,20.15,76.5667,31.36,43,76,7.55,IN,1717279533
30,blackmans bay,-43.0167,147.3167,6.52,85,1,0.45,AU,1717279534
31,bredasdorp,-34.5322,20.0403,13.21,93,96,8.67,ZA,1717279534
32,cienfuegos,22.1461,-80.4356,34.08,46,29,4.63,CU,1717279534
33,port-aux-francais,-49.35,70.2167,2.02,71,11,20.73,TF,1717279534
34,iqaluit,63.7506,-68.5145,0.85,74,75,6.17,CA,1717279534
35,kismayo,-0.3582,42.5454,26.27,87,38,5.7,SO,1717279534
36,jamestown,42.097,-79.2353,24.8,25,0,3.6,US,1717279518
37,antonio enes,-16.2325,39.9086,23.7,87,1,2.36,MZ,1717279534
38,ushuaia,-54.8,-68.3,1.81,75,40,7.72,AR,1717279441
39,shalkar,47.8288,59.6258,22.47,44,72,3.97,KZ,1717279535
40,tahoua,14.8888,5.2692,32.99,46,20,3.09,NE,1717279535
